Category,Subcategory,ChatGPT_Keyword,ChatGPT_Count,Gemini_Keyword,Gemini_Count,Agreeness,Person to review,Final_Keyword,Final count
Transcriptomics,Data / Prediction Biases,Spot-level mixing / doublets / loss of single-cell resolution,13,Low Abundance / Rare Cell Type Detection Issues,8,FALSE,MARLENE,Spot-level mixing / doublets / loss of single-cell resolution,13
Transcriptomics,Data / Prediction Biases,"Ambiguous read assignment (antisense, overlapping, isoforms)",11,Confounding Factors & Biological Heterogeneity,7,FALSE,MARLENE,"Ambiguous read assignment (antisense, overlapping, isoforms)",11
Transcriptomics,Technical / Instrumental Biases,"Sample processing artifacts (fixation, slicing, dissociation stress-response)",17,Resolution vs. Gene Coverage Trade-off (Spatial),9,FALSE,MARLENE,"Sample processing artifacts (fixation, slicing, dissociation stress-response)",17
Transcriptomics,Technical / Instrumental Biases,Hybridization / ligation / probe biases in capture/enrichment,14,"Sequencing Platform & Chemistry Biases (3'/5' end, errors)",8,FALSE,MARLENE,Hybridization / ligation / probe biases in capture/enrichment,14
Transcriptomics,Technical / Instrumental Biases,"Sequencing platform / chemistry variability (flowcells, barcode placement, error rates)",13,"Probe, Primer & Adapter Ligation Biases",7,FALSE,MARLENE,"Sequencing platform / chemistry variability (flowcells, barcode placement, error rates)",13
Transcriptomics,Computational / Analytical Biases,"Clustering, imputation, dimensionality reduction model biases",15,Deconvolution & Cell-Type Annotation Errors,13,FALSE,MARLENE,"Clustering, imputation, dimensionality reduction model biases",15
Transcriptomics,Computational / Analytical Biases,Deconvolution / annotation / cell-type assignment errors,14,Alignment & Multi-mapping Biases,8,FALSE,MARLENE,Deconvolution / annotation / cell-type assignment errors,14
Transcriptomics,Computational / Analytical Biases,Overfitting / metric dependency / reliance on curated references,12,Clustering & Dimensionality Reduction Artifacts,7,FALSE,MARLENE,Overfitting / metric dependency / reliance on curated references,12
Transcriptomics,Other Biases / Challenges,Loss of spatial context / resolution trade-offs in ST,19,"Scalability, Cost & Data Volume",15,FALSE,MARLENE,Loss of spatial context / resolution trade-offs in ST,19
Transcriptomics,Other Biases / Challenges,"High cost, input requirements, and scalability limits",17,Multi-omics & Multi-modal Integration Challenges,13,FALSE,MARLENE,"High cost, input requirements, and scalability limits",17
Transcriptomics,Other Biases / Challenges,"Integration challenges (multi-omics, cross-study, EHR)",15,Loss of Spatial Context,8,FALSE,MARLENE,"Integration challenges (multi-omics, cross-study, EHR)",15
Multi-omics,Data Production / Pre-Analytical Biases,"Collection & processing biases (dissociation stress, inconsistent protocols, contamination, low microbial biomass)",15,High Dimensionality & Small Sample Sizes,7,FALSE,MARLENE,"Collection & processing biases (dissociation stress, inconsistent protocols, contamination, low microbial biomass)",15
Multi-omics,Data Production / Pre-Analytical Biases,"Detection/capture limitations (low RNA capture, dropout in scRNA-seq, incomplete coverage in WES/WGS, low-abundance molecules)",14,Batch Effects (from processing),6,FALSE,MARLENE,"Detection/capture limitations (low RNA capture, dropout in scRNA-seq, incomplete coverage in WES/WGS, low-abundance molecules)",14
Multi-omics,Instrumental / Technical / Hardware Biases,"Amplification & PCR bias (GC-content, primer bias, copy number skew)",17,"Technology Limitations (coverage, sensitivity, resolution)",12,FALSE,MARLENE,"Amplification & PCR bias (GC-content, primer bias, copy number skew)",17
Multi-omics,Instrumental / Technical / Hardware Biases,"QC/instrument artifacts (microfluidic clogs, fragment size checks, probe biases, Bioanalyzer QC)",14,Evolving/Variable Technologies & Lack of Standardization,5,FALSE,MARLENE,"QC/instrument artifacts (microfluidic clogs, fragment size checks, probe biases, Bioanalyzer QC)",14
Multi-omics,Instrumental / Technical / Hardware Biases,"Sample prep constraints (need for large input, difficulty distinguishing cell/tissue types, cross-contamination)",13,High Cost of Assays & Instruments,3,FALSE,MARLENE,"Sample prep constraints (need for large input, difficulty distinguishing cell/tissue types, cross-contamination)",13
Multi-omics,Instrumental / Technical / Hardware Biases,"Cost, scalability & infrastructure burden (high-throughput expense, specialized equipment)",12,"Practical Limitations (e.g., high sample input required)",3,FALSE,MARLENE,"Cost, scalability & infrastructure burden (high-throughput expense, specialized equipment)",12
Multi-omics,Analytical / Software Biases,"Tool gaps & reproducibility crisis (pipelines hard to replicate, unpublished methods, database reliance)",14,Algorithm & Model Bias (especially AI/ML),7,FALSE,KEZIA,Algorithm & Model Bias (especially AI/ML),
Multi-omics,Analytical / Software Biases,"Tool gaps & reproducibility crisis (pipelines hard to replicate, unpublished methods, database reliance)",12,Imputation & Missing Data Handling Biases,5,FALSE,KEZIA,Tool gaps & reproducibility crisis,
Multi-omics,Reporting / Interpretation / Post-Analysis Biases,Overinterpretation & correlation ≠ causation,17,Publication & Snapshot Biases,9,FALSE,KEZIA,Publication bias,
Multi-omics,Reporting / Interpretation / Post-Analysis Biases,Gap between in silico predictions & clinical validation,13,Lack of Validation & Replication,9,FALSE,KEZIA,Lack of Validation & Replication,
Multi-omics,Other Biases / Challenges / Limitations,"Integration difficulties across omics layers (heterogeneous scales, noise, missing metadata, limited references)",18,Need for Interdisciplinary Collaboration,2,FALSE,KEZIA,Siloed integration bias,
Multi-omics,Other Biases / Challenges / Limitations,"Ethical, cultural & privacy issues (AI in clinic, diet/genomic data, conservation ethics)",15,Ethical & Privacy Concerns,4,FALSE,KEZIA,Ethics–data restriction bias,
Multi-omics,Other Biases / Challenges / Limitations,Cost & scalability limits for multi-omics adoption,14,Clinical Translation Barriers,4,FALSE,KEZIA,Resource-driven accessibility bias,
Multi-omics,Other Biases / Challenges / Limitations,"Clinical translation barriers (biomarker approval, N-of-1 needs, validation bottlenecks)",12,Paradigm Clash (Big Data vs. N-of-1 for Rare Disease),2,FALSE,KEZIA,Misaligned translation paradigm,
General_omics,Data Production Biases,sectional snapshots,21,"Missing Data, Sparsity & Dropout Events",8,FALSE,KEZIA,Temporal-driven data gaps,
General_omics,Data Production Biases,Incomplete / inconsistent metadata,20,Incomplete or Inconsistent Metadata,12,FALSE,KEZIA,Metadata quality bias,
General_omics,Data Production Biases,Degradation & handling variability,17,Small Cohort Sizes & Underpowered Studies,9,FALSE,KEZIA,Processing–power interaction bias,
General_omics,Technical / Instrumental Biases,"Signal drift & artifacts (LC-MS order effects, scanner artifacts, bleed-through)",14,Normalization & Batch Correction Choices,11,FALSE,KEZIA,Measurement-correction bias,
General_omics,Computational / Analytical Biases,"Overfitting, class imbalance, limited power",19,Antibody & Probe Specificity/Bias,5,FALSE,KEZIA,Model–assay mismatch bias,
General_omics,Computational / Analytical Biases,"Workflow fragmentation & portability issues (custom pipelines, assumptions, lack of CI/CD, scalability limits)",16,"Cell Segmentation, Annotation & Taxonomic Errors",7,FALSE,KEZIA,Pipeline-driven annotation bias,
General_omics,Other Biases / Challenges,"Reproducibility & validation deficits (few validations, missing code, restricted access, no gold standards)",18,"Scalability, Cost & Infrastructure Challenges",11,FALSE,KEZIA,Validation–infrastructure mismatch,
General_omics,Other Biases / Challenges,"Clinical translation & generalizability gaps (ancestry bias, rare disease issues, biomarker approval barriers)",15,Data Governance & Management Hurdles,6,FALSE,KEZIA,Governance-limited generalizability,
Chinese Literature,Data Production Biases,Small sample sizes & statistical power limits,17,Cultural & Economic Barriers to Participation,1,FALSE,KEZIA,Participation–power limitation,
Chinese Literature,Data Production Biases,Degradation & sample handling issues,13,Sample Handling & Preparation Variability,4,FALSE,KEZIA,Handling-related variability bias,
Chinese Literature,Data Production Biases,Loss of phenotypic context,12,Dropout Effects & Missing Data,1,FALSE,KEZIA,Context-driven missingness bias,
Chinese Literature,Technical / Instrumental Biases,Short-read sequencing limitations,21,Low Coverage or Sensitivity of Assays,2,FALSE,JY,Short-read sequencing limitations,21
Chinese Literature,Technical / Instrumental Biases,Allelic dropout & coverage bias,15,Short-Read Sequencing Limitations,2,FALSE,JY,Allelic dropout & coverage bias,15
Chinese Literature,Technical / Instrumental Biases,Batch effects & platform variability,14,Dependence on Cultivation (Microbiology),1,FALSE,JY,Batch effects & platform variability,14
Chinese Literature,Technical / Instrumental Biases,Metabolomics technical limits,12,Allelic Dropout / PCR Bias,1,FALSE,JY,Metabolomics technical limits,12
Chinese Literature,Technical / Instrumental Biases,Database-driven coverage gaps,11,Batch Effects,1,FALSE,JY,Database-driven coverage gaps,11
Chinese Literature,Computational / Analytical Biases,Haplotype phasing & complex admixture errors,15,Naming & Classification System Conflicts,3,FALSE,JY,Haplotype phasing & complex admixture errors,15
Chinese Literature,Computational / Analytical Biases,Database dependence & annotation bias,13,Haplotype Phasing Challenges,2,FALSE,JY,Database dependence & annotation bias,13
Chinese Literature,Computational / Analytical Biases,Subjectivity in analysis thresholds,12,Structural Variant (SV) Detection Gaps,1,FALSE,JY,Subjectivity in analysis thresholds,12
Chinese Literature,Other Biases / Challenges,Reproducibility & validation gaps,15,Dual Nomenclature Confusion & Instability,1,FALSE,JY,Reproducibility & validation gaps,15
Chinese Literature,Other Biases / Challenges,Taxonomic & naming conflicts,13,Loss of Physical Type Specimens (Nomenclature),1,FALSE,JY,Taxonomic & naming conflicts,13
Chinese Literature,Other Biases / Challenges,Clinical translation barriers,12,Historical Interpretation Conflicts,1,FALSE,JY,Clinical translation barriers,12
Proteomics,Technical / Instrumental Biases,Resolution / dynamic range limits,8,Inefficient Fragmentation & Separation,5,FALSE,JY,Resolution / dynamic range limits,8
Proteomics,Technical / Instrumental Biases,"Fragmentation inefficiencies (LC, MS, IM)",6,Instrument-Specific Variability & Background,4,FALSE,JY,"Fragmentation inefficiencies (LC, MS, IM)",6
Proteomics,Technical / Instrumental Biases,Contamination / carry-over / background ions,5,Low Throughput & Long Runtimes,3,FALSE,JY,Contamination / carry-over / background ions,5
Proteomics,Computational / Analytical Biases,"Annotation gaps (PTM, isoform, matrisome, genome)",8,Data Processing Challenges & Limited Tools,11,FALSE,JY,Data Processing Challenges & Limited Tools,11
Proteomics,Computational / Analytical Biases,Batch effects / missing values,6,Misidentification & Misannotation Errors,4,FALSE,JY,Batch effects / missing values,6
Proteomics,Computational / Analytical Biases,False positives / misidentification / FDR issues,5,Imputation Method Biases,2,FALSE,JY,False positives / misidentification / FDR issues,5
Proteomics,Computational / Analytical Biases,Parameter tuning / poor benchmarking / vendor-specific tools,4,Inadequate FDR Control & Deconvolution Errors,2,FALSE,JY,Parameter tuning / poor benchmarking / vendor-specific tools,4
Proteomics,Bias in Interpretation / Post-Analysis,Over-interpretation / overestimation of performance,7,Lack of Standardization & Reproducibility,7,FALSE,JY,Lack of Standardization & Reproducibility,7
Proteomics,Bias in Interpretation / Post-Analysis,"Ambiguous assignments (PTM site, weak enrichment)",5,Challenges in Clinical & Functional Interpretation,4,FALSE,JY,Challenges in Clinical & Functional Interpretation,4
Proteomics,Bias in Interpretation / Post-Analysis,"Optimism / narrative bias (highlighting successes, overstating superiority)",4,Ambiguous PTM Site Assignment Reporting,1,FALSE,JY,"Optimism / narrative bias (highlighting successes, overstating superiority)",4
Proteomics,Other Biases / Challenges,Lack of standards / reference atlases / biobanks,6,Sample & Cellular Heterogeneity,4,FALSE,JY,Lack of standards / reference atlases / biobanks,6
Proteomics,Other Biases / Challenges,Workflow integration & automation challenges,5,Need for Experimental Validation,2,FALSE,JY,Need for Experimental Validation,2
Proteomics,Other Biases / Challenges,"Privacy, data sharing limits, rare disease sample scarcity",4,Lack of Consensus Reference Standards,2,FALSE,JY,"Privacy, data sharing limits, rare disease sample scarcity",4
Genomics,Data production bias,Ancestry/underrepresentation,16,Ancestry/Population Bias (Eurocentric),11,TRUE,,Ancestry/Population Bias,
Genomics,Computational/Analytical Bias,"Algorithm/DB limitations (SVs, annotation, panels)",18,Algorithmic & Statistical Model Bias,10,TRUE,,Algorithmic/Model Bias,
Genomics,Computational/Analytical Bias,Lack of standardization / QC thresholds,11,Lack of Standardization,5,TRUE,,Lack of Standardization,
Genomics,Computational/Analytical Bias,Computational resources / infrastructure,10,"Computational Bottlenecks (Scale, Cost, Speed)",5,TRUE,,Computational Bottlenecks/Resources,
Genomics,Technical/Instrumental biases,Sequencing technology / resolution,8,Sequencing Technology Limitations & Errors,8,TRUE,,Sequencing Technology Limitations,
Genomics,Technical/Instrumental biases,Infrastructure / cost / access,3,Lack of Infrastructure/Technology (in specific regions),3,TRUE,,Infrastructure/Cost/Access,
Metabolomics,Data Production/Pre Analysis Bias,Pre-analytical Variability,22,"Pre-analytical Variability (collection, handling, storage)",22,TRUE,,Pre-analytical Variability,
Metabolomics,Instrumental / Technical / Hardware Bias,Instrument drift,19,Instrument Drift & Batch Effects,21,TRUE,,Instrument Drift & Batch Effects,
Metabolomics,Instrumental / Technical / Hardware Bias,Calibration / maintenance issues,13,Instrument Calibration & Maintenance Issues,10,TRUE,,Calibration & Maintenance,
Metabolomics,Analytical / Software / Computational Bias,Incomplete or inconsistent metabolite annotation/databases,13,Data Processing & Normalization Variability,16,TRUE,,Data Processing & Annotation/Database Issues,
Metabolomics,Analytical / Software / Computational Bias,"Pipeline/software variability (different tools, versions, parameters)",12,Database Gaps / Incomplete Libraries,11,TRUE,,Pipeline Variability & Database Gaps,
Metabolomics,Reporting / Interpretation / Post-Analysis Bias,Incomplete / missing metadata,15,Incomplete/Inconsistent Methods & Metadata Reporting,24,TRUE,,Incomplete Metadata/Methods Reporting,
Metabolomics,Reporting / Interpretation / Post-Analysis Bias,Underreporting of negative or null results,13,"Underreporting (negative findings, QC, validation)",15,TRUE,,Underreporting of Negative Results,
Metabolomics,Reporting / Interpretation / Post-Analysis Bias,Inconsistent reporting standards / workflows,12,Lack of Standardization in Reporting,11,TRUE,,Lack of Standardized Reporting,
Metabolomics,Other Biases / Challenges / Limitations,"Integration across omics layers (multi-omics, data harmonization)",14,Lack of Standardization & Harmonization (General),15,TRUE,,Lack of Standardization/Harmonization,
Metabolomics,Other Biases / Challenges / Limitations,Limited longitudinal evidence / underpowered studies,11,High Cost & Expertise Barriers,7,TRUE,,High Cost/Resource Barriers,
Transcriptomics,Data / Prediction Biases,"Dropout events / zero inflation (false negatives, sparsity)",22,"Dropout Events, Sparsity & Zero Inflation",21,TRUE,,Dropout Events / Sparsity,
Transcriptomics,Data / Prediction Biases,Length / GC-content / 3′-end capture biases,15,"Capture & Selection Bias (polyA, 3'-end, GC content)",13,TRUE,,Capture & Selection Bias,
Transcriptomics,Technical / Instrumental Biases,"RNA degradation (FFPE, low input, dissociation, freezing, storage)",21,RNA Degradation & Quality Issues,11,TRUE,,RNA Degradation & Quality,
Transcriptomics,Technical / Instrumental Biases,"Amplification bias (PCR, cDNA synthesis, non-UMI protocols)",18,"Amplification Bias (PCR, reverse transcription)",10,TRUE,,Amplification Bias,
Transcriptomics,Computational / Analytical Biases,Normalization artifacts / batch-effect correction variability,20,Normalization Artifacts & Challenges,18,TRUE,,Normalization & Batch Correction,
Transcriptomics,Computational / Analytical Biases,"Alignment / mapping / multimapping errors (indels, repetitive regions, antisense)",17,Batch Effect Correction & Integration Biases,17,TRUE,,Integration & Batch Correction,
Transcriptomics,Other Biases / Challenges,Lack of gold-standard benchmarks / reference atlases,12,Validation Gaps & Lack of Ground Truth,8,TRUE,,Lack of Benchmarks/Validation,
Transcriptomics,Other Biases / Challenges,"Validation and clinical translation gaps (interpretability, biomarkers, reproducibility)",11,Lack of Standardization & Reference Atlases,7,TRUE,,Lack of Standardization/Validation,
Multi-omics,Data Production / Pre-Analytical Biases,"Sample heterogeneity & variability (biological variability, tissue choice, comorbidities, blood vs brain, MCAR assumptions)",23,"Data & Sample Heterogeneity (biological, technical)",12,TRUE,,Sample Heterogeneity & Variability,
Multi-omics,Data Production / Pre-Analytical Biases,"Sample degradation / quality issues (RNA degradation, tissue quality, stability of DBS, rRNA contamination, host DNA contamination)",19,"Sample Handling, Collection & Quality Issues",11,TRUE,,"Sample Handling, Quality & Degradation",
Multi-omics,Data Production / Pre-Analytical Biases,"Sampling design issues (non-paired samples, timing variance across omics layers, missing data, small sample size, snapshot biases)",16,Missing Data & Low Sample Volume,8,TRUE,,"Sampling Issues (Missing Data, Small N)",
Multi-omics,Instrumental / Technical / Hardware Biases,"Platform & technology limits (NGS resolution, MS sensitivity, optical crowding, sequencing drift)",16,"Platform-Specific Biases (sequencing, proteomics, etc.)",7,TRUE,,Platform-Specific Limits & Biases,
Multi-omics,Analytical / Software Biases,"Normalization, batch effects & pipeline variability",21,Data Integration Challenges & Pipeline Complexity,16,TRUE,,Data Integration & Pipeline Issues,
Multi-omics,Analytical / Software Biases,High dimensionality & overfitting risk,19,Curse of Dimensionality' & Overfitting Risk,9,TRUE,,High Dimensionality & Overfitting,
Multi-omics,Analytical / Software Biases,"Mapping/alignment/variant calling biases (multimapping, incomplete references, variant prioritization errors)",16,Incomplete or Biased Reference Databases,7,TRUE,,Biased/Incomplete Reference Data,
Multi-omics,Reporting / Interpretation / Post-Analysis Biases,Black-box models & interpretability gaps,18,"Interpretability Challenges (Complexity, 'Black Box' models)",14,TRUE,,Interpretability & Black-Box Models,
Multi-omics,Reporting / Interpretation / Post-Analysis Biases,"Reproducibility & replication crisis (publication bias, variable benchmarks, inconsistent biomarker studies)",16,Distinguishing Correlation vs. Causation,6,TRUE,,Reproducibility & Correlation/Causation,
Multi-omics,Reporting / Interpretation / Post-Analysis Biases,"Context dependence & biological attribution errors (metabolite origins, heterogeneity in ASD, VUS pathogenicity)",15,Interpreting Variants of Unknown Significance (VUS),5,TRUE,,Interpreting VUS & Context,
Multi-omics,Other Biases / Challenges / Limitations,"Lack of gold-standard datasets & benchmarks (toxicological multi-omics, lung microbiome, single-cell multi-omics)",20,Lack of Standardization (General),6,TRUE,,Lack of Standardization & Benchmarks,
General_omics,Data Production Biases,"Sample heterogeneity & recruitment bias (habitat heterogeneity in oral sites, bulk vs. single-cell, region-specific sampling, underdiagnosis in rare diseases, PBMC vs. tissue mismatch)",26,Sample & Cohort Heterogeneity,16,TRUE,,Sample & Cohort Heterogeneity,
General_omics,Data Production Biases,"Selection bias & underpowered cohorts (retrospective designs, small N < 500, asymptomatic or diverse populations omitted)",19,Selection Bias & Unrepresentative Populations,8,TRUE,,Selection Bias & Underpowered Cohorts,
General_omics,Technical / Instrumental Biases,"Platform variability & batch effects (Illumina vs. ONT vs. PacBio, LC-MS drift, imaging scanner variability)",24,Platform Variability & Batch Effects,22,TRUE,,Platform Variability & Batch Effects,
General_omics,Technical / Instrumental Biases,"Extraction / prep protocol inconsistencies (DNA/RNA kits, lysis methods, probe design, antibody specificity, bisulfite conversion, derivatization)",21,Sample Preparation & Extraction Biases,13,TRUE,,Sample Prep & Extraction Bias,
General_omics,Technical / Instrumental Biases,"Amplification & sensitivity limitations (PCR bias, probe efficiency, ion suppression, low-abundance detection thresholds)",18,Analytical Sensitivity & Detection Limits,9,TRUE,,Sensitivity & Detection Limits,
General_omics,Technical / Instrumental Biases,"Hardware & reagent variability (centrifuge models, freezer hardware, reagent lots, flowcell chemistry)",16,Hardware Variability & Calibration Issues,7,TRUE,,Hardware & Reagent Variability,
General_omics,Computational / Analytical Biases,"Normalization, batch correction, preprocessing pipeline variability",23,Pipeline Heterogeneity & Lack of Standardization,18,TRUE,,Pipeline Heterogeneity & Lack of Standardization,
General_omics,Computational / Analytical Biases,"Annotation & reference gaps (taxonomy incompleteness, version drift in genomes/proteomes, functional annotation from non-oral/non-African contexts)",20,"Reference Database Gaps, Errors & Version Drift",11,TRUE,,Reference Database Gaps & Errors,
General_omics,Computational / Analytical Biases,"Feature selection & dimensionality pitfalls (dropout handling, univariate filters, PCA/LASSO limits, ignoring cross-omics correlation)",17,Model Overfitting & Feature Selection Bias,9,TRUE,,Model Overfitting & Feature Selection Bias,
General_omics,Other Biases / Challenges,"Integration & interoperability gaps (cross-omics harmonization, metadata ontologies, multi-cohort aggregation, biobank schema incompatibility)",22,Lack of Standardization & Interoperability,17,TRUE,,Lack of Standardization & Interoperability,
General_omics,Other Biases / Challenges,"Ethical / regulatory barriers (GDPR, HIPAA, consent legacy issues, pediatric diagnostics ethics, data sovereignty in Africa)",21,"Data Sharing, Privacy & Regulatory Barriers",12,TRUE,,"Data Sharing, Privacy & Regulatory Barriers",
General_omics,Other Biases / Challenges,"Cost, scalability, and infrastructure limits (biobank IT systems, high-plex imaging hardware, resource-constrained settings)",17,Reproducibility Gaps & Lack of Validation,9,TRUE,,"Reproducibility, Validation & Cost",
Chinese Literature,Data Production Biases,Population underrepresentation & diversity gaps,22,Underrepresentation of Populations (Minority/Asian/Uncultured),8,TRUE,,Population Underrepresentation,
Chinese Literature,Data Production Biases,Sampling errors & cohort recruitment barriers,16,Small Sample Size Constraints,2,TRUE,,Small Sample Size & Recruitment Barriers,
Chinese Literature,Computational / Analytical Biases,Reference genome bias,19,Reference Genome & Database Limitations/Bias,5,TRUE,,Reference Genome & Database Bias,
Chinese Literature,Computational / Analytical Biases,Data integration & multi-omics challenges,14,Data Integration Challenges,2,TRUE,,Data Integration Challenges,
Chinese Literature,Other Biases / Challenges,Ethical & cultural barriers,20,"Ethical, Consent & Cultural Barriers",4,TRUE,,"Ethical, Consent & Cultural Barriers",
Chinese Literature,Other Biases / Challenges,Resource inequality & global asymmetry,17,Resource Inequality & Economic Barriers,2,TRUE,,Resource Inequality & Economic Barriers,
Proteomics,Technical / Instrumental Biases,"Sensitivity (low-abundance proteins, detection limits)",10,Limited MS Sensitivity & Specificity,11,TRUE,,Sensitivity & Specificity Limits,
Proteomics,Technical / Instrumental Biases,"Instrument dependence (Orbitrap, Thermo lock-in, column variability)",5,Dependence on High-End / Specific Vendor Instruments,3,TRUE,,Instrument Dependence,
Proteomics,Computational / Analytical Biases,Standardisation / normalisation / database redundancy,7,Incomplete Databases & Annotation Gaps,7,TRUE,,Database/Annotation Gaps & Standardization,
Proteomics,Bias in Interpretation / Post-Analysis,"Selective / incomplete reporting (small protein lists, missing negatives)",9,Incomplete / Selective / Biased Reporting,9,TRUE,,Selective / Incomplete Reporting,
Proteomics,Bias in Interpretation / Post-Analysis,"Reproducibility challenges (low replication, inconsistent QC)",6,Over-interpretation / Misinterpretation of Data,6,TRUE,,Reproducibility & Over-interpretation,
Proteomics,Other Biases / Challenges,"Cost, high expertise, resource intensity",8,"High Cost, Complexity & Access Barriers",6,TRUE,,"Cost, Complexity & Access Barriers",
Proteomics,Other Biases / Challenges,"Batch variability / heterogeneity (cell, tissue, EVs)",7,Batch Effects & Inter-lab Variability,5,TRUE,,Batch Effects & Heterogeneity,
